,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20240608,86.0,0.0,7160.97,0.0,0.0,0.0,-7074.97,0.0,7160.97,86.0,,
1,20240708,1446.5099999999998,0,8569.36,173.0,0.0,47.88000000000011,-7122.85,0.0,8569.36,1446.5099999999998, CC INTEREST (Credit: Prev Stmt Bal +$173.0);  CC MIN PAYMENT (Credit: Prev Stmt Bal -$244.61);  CC MIN PAYMENT (Checking -$244.61); ,EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay mom x2 (Checking -$1200.0); health insurance (Checking -$268.88); gas x3 (Credit -$240.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
2,20240808,708.9200000000001,0,9883.670000000002,207.02,0.0,2051.9000000000005,-9174.750000000002,0.0,9883.670000000002,708.9200000000001, CC INTEREST (Credit: Prev Stmt Bal +$207.02);  CC MIN PAYMENT (Credit: Prev Stmt Bal -$292.71);  CC MIN PAYMENT (Checking -$292.71); ,EMT income x2 (Checking +$3200.0); phlebotomy tuition (Checking -$3250.0); food x31 (Credit -$1240.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
3,20240908,876.43,0,11184.83,238.77,0.0,1133.6500000000005,-10308.4,0.0,11184.83,876.43, CC INTEREST (Credit: Prev Stmt Bal +$238.77);  CC MIN PAYMENT (Credit: Prev Stmt Bal -$337.61);  CC MIN PAYMENT (Checking -$337.61); ,EMT income x2 (Checking +$3200.0); sjcc fall tuition (Checking -$1500.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
4,20241008,1081.55,0,11015.039999999999,270.21,374.90999999999985,0.0,-9933.49,0.0,11015.039999999999,1081.55, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$270.21);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
5,20241108,2886.67,0,10881.150000000001,266.11,1939.0099999999998,0.0,-7994.480000000001,0.0,10881.150000000001,2886.67, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$266.11);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x3 (Checking +$4800.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
6,20241208,3091.79,0,10784.02,262.87,302.25,0.0,-7692.2300000000005,0.0,10784.02,3091.79, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$262.87);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x3 (Credit -$240.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
7,20250108,3296.91,0,10644.54,260.52,344.5999999999999,0.0,-7347.630000000001,0.0,10644.54,3296.91, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$260.52);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
8,20250208,2002.03,0,10501.69,257.15,0.0,1152.0299999999997,-8499.66,0.0,10501.69,2002.03, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$257.15);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); sjcc spring 2025 tuition (Checking -$1500.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
9,20250308,2207.15,0,10235.390000000001,253.7,471.4200000000001,0.0,-8028.240000000002,0.0,10235.390000000001,2207.15, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$253.7);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x28 (Credit -$1120.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
10,20250408,2412.27,0,10082.66,247.27,357.8499999999999,0.0,-7670.389999999999,0.0,10082.66,2412.27, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$247.27);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
11,20250508,2617.39,0,9886.24,243.58,401.53999999999996,0.0,-7268.85,0.0,9886.24,2617.39, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$243.58);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
12,20250608,2922.51,0,9805.08,238.84,386.27999999999975,0.0,-6882.57,0.0,9805.08,2922.51, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$238.84);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x3 (Checking +$4800.0); sjcc summer 2025 tuition (Checking -$1500.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x3 (Credit -$240.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
13,20250708,3127.63,0,9601.95,236.87,408.25,0.0,-6474.320000000001,0.0,9601.95,3127.63, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$236.87);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00),EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
14,20250808,0.0,0,7601.17,231.97,0.0,1126.8500000000004,-7601.17,0.0,7601.17,0.0, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC INTEREST (Credit: Prev Stmt Bal +$231.97);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00) ADDTL CC PAYMENT (Checking -$1832.75);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1832.75); ,EMT income x2 (Checking +$3200.0); sjcc fall 2025 tuition (Checking -$1500.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
15,20250908,205.12,0,7429.08,227.91,377.21000000000004,0.0,-7223.96,0.0,7429.08,205.12, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Checking -$00);  CC INTEREST (Credit: Prev Stmt Bal +$227.91);,EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
16,20251008,156.48,0,6914.79,179.47,465.6500000000001,0.0,-6758.31,0.0,6914.79,156.48, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$179.47);,EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
17,20251108,1725.4,0,6525.64,167.05,1958.0699999999997,0.0,-4800.24,0.0,6525.64,1725.4, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$167.05);,EMT income x3 (Checking +$4800.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); gas x3 (Credit -$240.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
18,20251208,1457.61,0,6020.38,157.65,237.4699999999998,0.0,-4562.77,0.0,6020.38,1457.61, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$157.65);,EMT income x2 (Checking +$3200.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
19,20260108,1207.09,0,5560.18,145.44,209.67999999999984,0.0,-4353.09,0.0,5560.18,1207.09, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$145.44);,EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
20,20260208,972.29,0,5104.58,134.32,220.79999999999973,0.0,-4132.29,0.0,5104.58,972.29, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$134.32);,EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
21,20260308,199.74,0,3980.2299999999996,123.32,351.7999999999997,0.0,-3780.49,0.0,3980.2299999999996,199.74, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$123.32); ADDTL CC PAYMENT (Checking -$553.3);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$553.3); ,EMT income x2 (Checking +$3200.0); food x28 (Credit -$1120.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
22,20260408,0.0,0,3534.89,109.52,245.5999999999999,0.0,-3534.89,0.0,3534.89,0.0, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Checking -$00);  CC INTEREST (Credit: Prev Stmt Bal +$109.52);,EMT income x2 (Checking +$3200.0); food x31 (Credit -$1240.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
23,20260508,0.0,0,1625.17,85.4,1909.7199999999998,0.0,-1625.17,0.0,1625.17,0.0, ADDTL CC PAYMENT (Checking -$1800.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1800.0);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC MIN PAYMENT ALREADY MADE (Checking -$0.00);  CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00);  CC INTEREST (Credit: Prev Stmt Bal +$85.4); ADDTL CC PAYMENT (Checking -$1294.73);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$1294.73); ,EMT income x3 (Checking +$4800.0); food x30 (Credit -$1200.0); repay dad (Checking -$800.0); health insurance (Checking -$268.88); fake loan payment (Checking -$250.0); gas x2 (Credit -$160.0); car insurance (Checking -$95.0); storage unit rent (Checking -$31.0); 
